Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Middle,Female,Own,Single,Close,33000,3,NA,6,700
Young,Female,Own,Single,Close,36900,2,Low,24,514
Young,Female,Rent,Single,Close,33200,1,NA,6,320
Middle,Male,Rent,Married,Close,49300,0,NA,24,1692
Old,Male,Rent,Married,Far,66200,0,High,24,2057
Middle,Male,Own,Married,Far,96800,2,High,18,2299
Young,Male,Own,Single,Close,63200,0,High,24,1507
NA,Male,Own,Married,Far,112900,0,High,24,6217
NA,Female,Rent,Single,Close,32100,2,Low,24,405
NA,Male,Own,Married,Far,102700,1,High,18,3785
NA,Male,Own,Married,Close,123800,2,NA,18,3537
NA,Female,Rent,Single,Far,11700,0,Low,18,540
NA,Male,Own,Married,Close,101700,1,NA,6,941
NA,Female,Own,Married,Far,99200,0,High,24,5503
NA,Male,Rent,Single,Close,17600,0,NA,6,273
NA,Female,Rent,Single,Close,19400,1,NA,18,384
NA,Male,Rent,Single,Far,40500,1,NA,18,1073
NA,Male,Own,Single,Close,44800,0,Medium,24,1417
NA,Male,Own,Married,Close,79000,2,Medium,18,671
NA,Male,Rent,Married,Close,53600,1,Medium,24,973
